country,region,population,yearly_change,net_change,density,land_area,net_migrants,fertility_rate,median_age,population_urban,world_share,long_term_avg_growth,initial_pop_1950,final_pop_2023,long_term_growth_multiple
Djibouti,Africa,73040,0.42,303,97,750,-40,1.6,32.0,75.0,0.0,4.091684781999264,62334.0,1136455.0,18.231703404241667
Dominica,Latin America,11332972,0.93,104151,235,48320,-29099,2.2,28.0,85.0,0.14,0.51909908581183,50188.0,73040.0,1.4553279668446641
Dominican Republic,Latin America,102262808,3.29,3252596,45,2267050,-14999,6.1,16.0,46.0,1.27,2.162885961414721,2381740.0,11332972.0,4.758274202893682
Ecuador,Latin America,18190484,1.05,189484,73,248360,-21525,2.0,28.0,64.0,0.23,2.277502651390411,3518733.0,18190484.0,5.169611902920739
Egypt,Africa,112716598,1.56,1726495,113,995450,-29998,2.8,24.0,41.0,1.4,2.3190098488285673,21150058.0,112716598.0,5.329375361523831
El Salvador,Latin America,6364943,0.45,28551,307,20720,-23249,1.8,27.0,78.0,0.08,1.4817215746101426,2182409.0,6364943.0,2.9164757843282354
Equatorial Guinea,Africa,1714671,2.37,39763,61,28050,4000,4.1,21.0,67.0,0.02,2.8361182258035025,226381.0,1714671.0,7.574270808945981
Eritrea,Africa,3748901,1.76,64869,37,101000,-15297,3.7,19.0,67.0,0.05,2.11131059653328,822576.0,3748901.0,4.557513226741359
Estonia,Europe,1322765,-0.25,-3297,31,42390,-1000,1.7,42.0,68.0,0.02,0.2538098252869234,1102078.0,1322765.0,1.200246262061306
Eswatini,Africa,1210822,0.76,9152,70,17200,-5268,2.8,22.0,31.0,0.02,2.0754092258043535,271642.0,1210822.0,4.457418219568402
Ethiopia,Africa,126527060,2.55,3147136,127,1000000,-11999,4.0,19.0,22.0,1.57,2.7319114489932077,17709951.0,126527060.0,7.144404860295774
Falkland Islands,Latin America,53270,0.34,180,38,1396,0,2.7,38.0,41.0,0.0,0.7602915278831334,2191.0,3791.0,1.730260155180283
Faroe Islands,Europe,3791,0.29,11,0,12170,0,1.6,40.0,62.0,0.0,0.7186371225656631,31655.0,53270.0,1.6828305165060813
Fiji,Oceania,936375,0.71,6609,51,18270,-3289,2.4,27.0,59.0,0.01,1.5387347016323873,308308.0,936375.0,3.037141429998573
Finland,Europe,5545475,0.09,4730,18,303890,13999,1.4,43.0,87.0,0.07,0.4460852445809593,4008289.0,5545475.0,1.3835017884189489
France,Europe,64756584,0.2,129956,118,547557,67761,1.8,42.0,84.0,0.8,0.6003954913584933,41842355.0,64756584.0,1.5476323930620062
French Guiana,Latin America,312155,2.49,7598,4,82200,1200,3.4,24.0,90.0,0.0,3.619244794150109,23398.0,312155.0,13.341097529703394
French Polynesia,Oceania,308872,0.85,2593,84,3660,-100,1.7,34.0,59.0,0.0,2.1732932605159156,64535.0,308872.0,4.786116061052142
Gabon,Africa,2436566,1.99,47574,9,257670,1000,3.4,22.0,85.0,0.03,2.274292411213072,472905.0,2436566.0,5.152337150167582
Gambia,Africa,2773168,2.48,67176,274,10120,-3000,4.5,17.0,58.0,0.03,3.0626490047229535,306781.0,2773168.0,9.039568943317871
